text,label
"Pengen punya balapan liar kayak 𝐉𝐔𝐍𝐈𝐎𝐑𝟖𝟖, nabung dulu ah.",1
Situs ❚█══ 𝗠𝗘𝗚𝗔𝗕𝗘𝗧99 ══█❚ selalu siap memberikan kemenangan,1
Deposit di 𝐉𝐔𝐍𝐈𝐎𝐑𝟖𝟖 rezeki nomplok loh 🔢,1
💞 A L E X I S 1 7 💞 tuh emang bener-bener ngubah hidup gue sih,1
Satusatu nya podcast yg bikin gue nangis sesegukan 😭😭😭😭 aduuhhh... Hebat mama kamari. Kamu perempuan hebat and smart,0
Azka ganteng iih ..,0
Lancar lancar bang salam Jepe ⭐𝙎𝙂𝙄88,1
Gilaaaaa sseepanjang viiideeo gua nnannggus😢😢 jen ❤ uu,0
"Video nya kurng bnget hungan kek gitu aja di bikin YouTube
Dia itu belum nikah loh kalo udah nikah boleh juga di up",0
"emng gilak tu fans sebelah, gilaaa bgt bawa bawa mental orng loh, parah, perkara satu cowo doang, yaampumn",0
semangat mamanya kamari,0
Salut yg modelan nya hidup bebas tp dia tau kalau hamil gak boleh nikah ...byk yg tau bahkan dan hidup nya mengerti aturan secara agama...hamil di nikahkan dan setelah lahir nggak ijab kabul LG....sehat dan sukses buat mu cantik,0
"Anjay mantep, di 💞 A L E X I S 1 7 💞 bisa main SL🅞T sambil nge-Facebook.",1
"yang dulu-dulu di bahas lagi, yang angkat beritanya netizan bukan dia, heran deh",0
Dia emg salah tapi dia punya tanggung jawab yg luar biasa,0
suciin dulu aja diri sendiri lah ga usah banyak alasan smua harus ada logo halal nya jawab aja yang jujur buat pemasukan negara dan sendiri udah cukup.!!!!!,0
Liburan kemarin kita merencanakan ✌𝗔𝗟𝗘𝗫𝗜𝗦17✌ fakta mengejutkan di bawah pohon rindang.,1
"Asli gak bohong, di 𝐉𝐔𝐍𝐈𝐎𝐑𝟖𝟖 ada fitur quick login yang super kilat peta.",1
𝐉𝐔𝐍𝐈𝐎𝐑𝟖𝟖 memang cepat,1
"Asli bikin ketagihan, di 𝐉𝐔𝐍𝐈𝐎𝐑𝟖𝟖 sensasi jackpot-nya bikin nagih tera maksimal.",1
Host nya kerennnnn,0
Mamari hebattt ❤,0
"Makanan haram dia ga mau.
Duit haram dia rebutan.  😅",0
Semoga rezeki yang berasal dari 😶𝘼-𝙀-𝙍𝙊𝟴𝟴 dapat membawa manfaat dan kebaikan bagi sesama manusia! 🦏,1
"Sehatt selalu kak jen, tetap kuat buat ya kak kami suport kak jen",0
Ah pandai ngibul lu behh,0
"Gokil abis, di 𝐁 𝐎 𝐖 𝐎 𝟖𝟖 ada bonus cashback yang dibayar setiap zeptodetik.",1
"Gila sih, di 💞 A L E X I S 1 7 💞 ada event lucky draw dengan hadiah emas batangan.",1
Love you jen😇💗,0
Terbaik B U K I T 8 8 8,1
Sudah saya blok semuanya,0
"Sambil nunggu kereta, ada yang nyetel video tentang 퐏퐔퐋퐀퐔퐖퐈퐍.",1
Semangat teruss mamajeeennnnnn. Hidup lebih lama untuk kamarii❤️❤️❤️,0
"Info loker stafsus dong, diPEAin tiap hari juga gpp",0
